 table_schema |             table_name             | rows_n 
--------------+------------------------------------+--------
 terep        | retailerpos                        |  71654
 terep        | p13_1465_odn_depletion             |  71654
 terep        | distributorinventory               |  17784
 terep        | distributorsales                   |  16827
 terep        | p12_1465_iepl_depletion            |  15576
 terep        | p11_1465_soh_sin_stock             |   5534
 terep        | p11_1465_iepl_soh                  |   3572
 terep        | distprodmapping                    |   3275
 terep_cstm   | diageo_esea_summary_report         |   2350
 terep        | p19_1465_odn_depletion             |   2016
 terep        | cpgsales                           |   2016
 terep        | p11_1465_odn                       |   1717
 terep        | p9_1465_sit_recon_mapping          |   1654
 terep        | p11_1465_odn_soh                   |   1596
 terep        | p26_1465_odn_channel_mapping       |   1115
 terep        | channelmaster                      |   1115
 terep        | p11_1465_soh_sin_frontier_iepl     |    951
 terep        | p11_1465_soh_sin_stock_tr          |    895
 terep        | p9_1465_recon_sku_mapping          |    686
 terep        | p12_1465_soh_singapore_stock       |    678
 terep        | p9_1465_sku_mapping                |    657
 terep        | p11_1465_soh_sin_mhdmy_ov          |    654
 terep        | p11_1465_soh_sin_mhdsg_ov          |    636
 terep        | p12_1465_iepl                      |    573
 terep        | p11_1465_soh_sin_stock_ftz         |    570
 terep        | p11_1465_soh_sin_iepl              |    560
 tenopr       | extraction_audit                   |    464
 terep        | p11_1465_soh_sin_odn_ov            |    441
 terep        | p11_1465_soh_sin_idl_copy          |    314
 terep        | p9_1465_esea_new_product_mapping   |    278
 tenopr_bkp   | extraction_audit_bkp               |    198
 terep        | p11_1465_iepl                      |    136
 terep        | p11_1465_soh_sin_odn_sg            |    115
 tenopr_bkp   | file_metrics_bkp                   |    110
 terep        | p11_1465_soh_sin_mhdsg_ov2_bp      |     93
 tenopr       | emails                             |     68
 tenopr       | extraction_log                     |     44
 tenopr_bkp   | extraction_log_bkp                 |      6
 tenopr_bkp   | file_process_errors_bkp            |      4
 tenopr       | file_process_errors                |      2
 terep        | cpgorders                          |      0
 terep        | distributorsalestarget             |      0
 terep        | cpgordercut                        |      0
 terep        | cpgemployee                        |      0
 terep        | retailersalestarget                |      0
 terep        | batchmaster                        |      0
 terep        | productlifecycle                   |      0
 terep        | regionmaster                       |      0
 terep        | territorymaster                    |      0
 terep        | salesteammaster                    |      0
 terep        | saleshierarchy                     |      0
 terep_dirty  | miscentity2_dirty                  |      0
 terep_dirty  | calendarmaster_dirty               |      0
 terep_dirty  | geohierarchy_dirty                 |      0
 terep_dirty  | merchandise_dirty                  |      0
 terep_dirty  | partnervisit_dirty                 |      0
 terep_dirty  | cpgemployee_dirty                  |      0
 terep_dirty  | distributorsales_dirty             |      0
 terep_dirty  | cpgsales_dirty                     |      0
 terep_dirty  | salesrepperformance_dirty          |      0
 terep_dirty  | retailersalestarget_dirty          |      0
 terep_dirty  | batchmaster_dirty                  |      0
 terep_dirty  | productlifecycle_dirty             |      0
 terep_dirty  | regionmaster_dirty                 |      0
 terep_dirty  | territorymaster_dirty              |      0
 terep_dirty  | salesteammaster_dirty              |      0
 terep_dirty  | saleshierarchy_dirty               |      0
 terep_dirty  | uommaster_dirty                    |      0
 terep_dirty  | uomconversionmaster_dirty          |      0
 terep_dirty  | prodhierarchy_dirty                |      0
 terep_dirty  | distprodmapping_dirty              |      0
 terep_dirty  | produommaster_dirty                |      0
 terep_dirty  | distributorreturns_dirty           |      0
 terep_dirty  | promotionmaster_dirty              |      0
 terep_dirty  | channelmaster_dirty                |      0
 terep_dirty  | taxmaster_dirty                    |      0
 terep_dirty  | produommaster_dirty_dirty          |      0
 terep_dirty  | salesrepmapping_dirty              |      0
 terep_dirty  | employeemaster_dirty               |      0
 terep_dirty  | currencymaster_dirty               |      0
 terep_dirty  | geomapping_dirty                   |      0
 terep_dirty  | miscentity1_dirty                  |      0
 terep_dirty  | locationtaxes_dirty                |      0
 terep_dirty  | distributorgrn_dirty               |      0
 terep_dirty  | distretlmapping_dirty              |      0
 terep_dirty  | retailerpos_dirty                  |      0
 terep_dirty  | distributorinventory_dirty         |      0
 terep_dirty  | locationmaster_dirty               |      0
 terep_dirty  | distributormaster_dirty            |      0
 terep_dirty  | retailermaster_dirty               |      0
 terep_dirty  | productmaster_dirty                |      0
 terep_dirty  | productpricelist_dirty             |      0
 terep_dirty  | distributorordercut_dirty          |      0
 terep_dirty  | distributororders_dirty            |      0
 terep_dirty  | cpgorders_dirty                    |      0
 terep_dirty  | distributorsalestarget_dirty       |      0
 terep_dirty  | cpgmaster_dirty                    |      0
 terep_dirty  | cpginventory_dirty                 |      0
 terep_dirty  | cpgordercut_dirty                  |      0
 tenopr_bkp   | audit_anomaly_log_bkp              |      0
 tenopr_bkp   | audit_log_bkp                      |      0
 tenopr_bkp   | audit_log_json_bkp                 |      0
 tenopr_bkp   | audit_log_stat_bkp                 |      0
 tenopr_bkp   | business_param_chkpnt_val_bkp      |      0
 tenopr_bkp   | emails_bkp                         |      0
 tenopr_bkp   | file_transaction_dates_bkp         |      0
 tenopr_bkp   | linechecksum_bkp                   |      0
 tenopr_bkp   | subscribers_subscription_audit_bkp |      0
 tenopr       | audit_log                          |      0
 tenopr_bkp   | subscription_audit_bkp             |      0
 tenopr       | business_param_chkpnt_val          |      0
 tenopr       | file_metrics                       |      0
 tenopr       | file_transaction_dates             |      0
 tenopr       | subscribers_subscription_audit     |      0
 tenopr       | subscription_audit                 |      0
 tenopr       | audit_log_json                     |      0
 tenopr       | audit_anomaly_log                  |      0
 tenopr       | audit_log_stat                     |      0
 tenopr       | linechecksum                       |      0
 terep        | uomconversionmaster                |      0
 terep        | taxmaster                          |      0
 terep        | cpgmaster                          |      0
 terep        | cpginventory                       |      0
 terep        | merchandise                        |      0
 terep        | salesrepperformance                |      0
 terep        | partnervisit                       |      0
 terep        | uommaster                          |      0
 terep        | calendarmaster                     |      0
 terep        | geohierarchy                       |      0
 terep        | distributorreturns                 |      0
 terep        | geomapping                         |      0
 terep        | salesrepmapping                    |      0
 terep        | distributorgrn                     |      0
 terep        | miscentity2                        |      0
 terep        | locationmaster                     |      0
 terep        | distretlmapping                    |      0
 terep        | prodhierarchy                      |      0
 terep        | promotionmaster                    |      0
 terep        | currencymaster                     |      0
 terep        | locationtaxes                      |      0
